Hit,Protein1,Protein2,E,Score,Organism
4022,P49557,Q8Z0F0,3e-34,122.0,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4023,P49557,Q3MCZ7,4.8e-34,121.3,Trichormus variabilis ATCC 29413
4024,P49557,Q7VAN3,1.6000000000000002e-33,119.7,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
4025,P49557,Q10ZG6,1.6000000000000002e-33,119.7,Trichodesmium erythraeum (strain IMS101)
4026,P49557,B0JQG4,2.600000000000001e-33,119.0,Microcystis aeruginosa (strain NIES-843)
4027,Q3AMN9,Q3AW84,6.199999999999999e-53,181.1,Synechococcus sp. CC9902
4028,Q3AMN9,Q0ID14,4.3e-47,162.5,Synechococcus sp. (strain CC9311)
4029,Q3AMN9,Q3MFB2,4.6e-34,120.9,Trichormus variabilis ATCC 29413
4030,P51260,Q6B8S5,1.1000000000000004e-59,204.9,Gracilaria tenuistipitata var. liui
4031,P51260,Q08808,1.5999999999999996e-53,185.0,Galdieria sulphuraria
4032,P51260,Q9TM40,1.6e-43,152.8,Cyanidium caldarium
4033,P56395,P00170,2.4e-78,265.5,Equus caballus
4034,P56395,Q9V4N3,1.6e-36,130.2,Drosophila melanogaster
4035,P56395,Q9HFV1,1.6e-27,101.1,Rhizopus stolonifer
4036,P56395,O48845,2.1e-24,91.0,Arabidopsis thaliana
4037,P56395,Q9Y706,1.8e-23,88.0,Mortierella alpina
4038,P56395,Q9ZWT2,2.5e-23,87.5,Arabidopsis thaliana
4039,P56395,P49100,4.4e-23,86.7,Oryza sativa subsp. japonica
4040,Q8IDQ0,B3L8F2,1.9e-182,611.7,Plasmodium knowlesi (strain H)
4041,Q8IDQ0,Q86G50,3.1e-133,449.6,Toxoplasma gondii
4042,Q8IDQ0,B7G3Y9,3.7e-132,446.1,Phaeodactylum tricornutum (strain CCAP 1055/1)
4043,Q8IDQ0,Q8LEE8,3.9e-121,409.7,Arabidopsis thaliana
4044,Q8IDQ0,A9NNH7,2.8e-120,406.9,Picea sitchensis
4045,Q8IDQ0,Q6GQ48,3.5e-120,406.6,Xenopus laevis
4046,Q8IDQ0,B9RX57,8e-120,405.4,Ricinus communis
4047,Q8IDQ0,B9N2B0,2e-119,404.2,Populus trichocarpa
4048,Q8IDQ0,Q6PHG4,2.4e-119,403.9,Danio rerio
4049,Q8IDQ0,C5XKZ1,3.2e-119,403.5,Sorghum bicolor
4050,Q8IDQ0,B6TN12,4.1e-119,403.1,Zea mays
4051,Q851S8,C5WNV2,1.8e-278,929.1,Sorghum bicolor
4052,Q851S8,A9TIK2,2.2e-218,730.9,Physcomitrium patens
4053,Q851S8,Q017T9,1.4e-182,612.8,Ostreococcus tauri
4054,Q851S8,A8NDT2,2.3e-165,556.1,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003)
4055,Q6B8P0,Q760R9,1.7e-309,1031.0,Pyropia katadae
4056,Q6B8P0,P50255,1.2e-308,1028.2,Pyropia suborbiculata
4057,P60152,Q85A78,6.6e-21,76.1,Anthoceros angustus
4058,Q2JTQ5,Q2JM50,1.2e-142,478.0,Synechococcus sp. (strain JA-2-3B'a(2-13))
4059,Q2JTQ5,Q8DM27,7.6e-112,377.3,Thermosynechococcus elongatus (strain BP-1)
4060,Q2JTQ5,B7KIR7,9.3e-108,363.9,Gloeothece citriformis (strain PCC 7424)
4061,Q2JTQ5,B0JNQ5,4.2e-107,361.8,Microcystis aeruginosa (strain NIES-843)
4062,Q2JTQ5,A2CDE8,3.8e-104,352.1,Prochlorococcus marinus str. MIT 9303
4063,Q2JTQ5,Q0I6K8,2.9e-103,349.2,Synechococcus sp. (strain CC9311)
4064,O46897,A6MW04,2.3e-152,511.3,Rhodomonas salina
4065,O46897,P49545,4.1e-128,431.8,Trieres chinensis
4066,O46897,B7KHZ0,1.2e-123,417.2,Gloeothece citriformis (strain PCC 7424)
4067,O46897,B1XJT6,7.700000000000001e-123,414.5,Synechococcus sp. PCC 7002
4068,A0T0U1,P49474,1.4e-25,90.8,Trieres chinensis
4069,A0T0U1,Q3MC10,6.9e-19,70.2,Trichormus variabilis ATCC 29413
4070,A0T0U1,Q85FQ3,9.5e-19,69.8,Cyanidioschyzon merolae (strain 10D)
4071,A0T0U1,Q8YQI1,1.4e-18,69.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4072,A0T0U1,B7K625,1.7e-18,69.0,Rippkaea orientalis (strain PCC 8801)
4073,A0T0U1,Q8RSW2,4.2e-18,67.8,Synechococcus sp. PCC 7002
4074,A0T0U1,Q10YS9,4.6e-18,67.7,Trichodesmium erythraeum (strain IMS101)
4075,A0T0U1,B0JLV0,5.1e-18,67.6,Microcystis aeruginosa (strain NIES-843)
4076,A0T0U1,Q06J12,8e-18,67.0,Bigelowiella natans
4077,B7T1R8,A0T0E9,5.0999999999999995e-24,90.0,Phaeodactylum tricornutum (strain CCAP 1055/1)
4078,B7T1R8,Q6YXK2,2.3e-19,74.9,Physcomitrium patens
4079,B7T1R8,Q32RS7,3.5e-19,74.3,Staurastrum punctulatum
4080,B7T1R8,B2J056,5.1e-18,70.6,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4081,B7T1R8,Q6B8R0,6.5e-18,70.2,Gracilaria tenuistipitata var. liui
4082,B7T1R8,Q32RL0,9.3e-18,69.7,Zygnema circumcarinatum
4083,B7T1R8,Q19VA4,9.9e-18,69.6,Chlorokybus atmophyticus
4084,B7T1R8,Q85AL8,1.1e-17,69.5,Anthoceros angustus
4085,B7T1R8,O78477,1.7e-17,68.9,Guillardia theta
4086,A0T0Y8,A5GVX5,1.2e-34,123.8,Synechococcus sp. (strain RCC307)
4087,A0T0Y8,Q3MFA6,1.3e-34,123.7,Trichormus variabilis ATCC 29413
4088,A0T0Y8,Q5L3S3,2.9e-34,122.6,Geobacillus kaustophilus (strain HTA426)
4089,A0T0Y8,O46909,3.3000000000000003e-34,122.5,Guillardia theta
4090,A0T0Y8,Q8YPJ4,5.2e-34,121.8,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4091,A0T0Y8,A4IJK4,1.1e-33,120.7,Geobacillus thermodenitrificans NG80-2
4092,A0T0Y8,A8F9A1,1.1e-33,120.7,Bacillus pumilus (strain SAFR-032)
4093,A0T0Y8,B7IT35,1.3000000000000001e-33,120.5,Bacillus cereus (strain G9842)
4094,A0T0Y8,P09415,1.4000000000000001e-33,120.4,Geobacillus stearothermophilus
4095,Q9V3Y2,B3N5N3,9.800000000000001e-164,547.6,Drosophila erecta
4096,Q9V3Y2,Q29P70,2.9999999999999998e-151,506.8,Drosophila pseudoobscura pseudoobscura
4097,Q9V3Y2,B4LRY2,3.1e-148,496.9,Drosophila virilis
4098,Q9V3Y2,B4JAX0,2e-140,471.3,Drosophila grimshawi
4099,Q9V3Y2,C3YFB4,2.8e-47,166.5,Branchiostoma floridae
4100,Q4G3D2,O96797,2e-07,34.8,Skeletonema costatum
4101,Q4G3D2,Q32RW9,1.6e-06,32.1,Staurastrum punctulatum
4102,Q118Z5,B8HVS0,2.800000000000001e-74,251.5,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
4103,Q118Z5,P63200,5.8e-73,247.3,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4104,Q118Z5,P59168,1.6000000000000001e-71,242.6,Thermosynechococcus elongatus (strain BP-1)
4105,Q118Z5,B1WQY7,9.7e-71,240.1,Crocosphaera subtropica (strain ATCC 51142 / BH68)
4106,Q118Z5,B1XI66,1e-70,240.0,Synechococcus sp. PCC 7002
4107,Q8YRI1,C4Q0P6,2.3e-73,252.1,Schistosoma mansoni
4108,P17253,B8HPK2,2.2e-142,478.4,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
4109,P17253,P50006,3e-128,432.0,Arthrospira platensis
4110,O59933,Q9UUH4,1.7e-115,391.0,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
4111,B2ITP7,Q7NEG0,1.6000000000000002e-23,86.4,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
4112,B2ITP7,Q31L15,1.9e-19,73.6,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4113,Q2JW99,Q3MB92,0.0,1452.5,Trichormus variabilis ATCC 29413
4114,Q2JW99,Q8YMS8,0.0,1450.0,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4115,Q2JW99,B2IUA9,0.0,1449.8,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4116,Q2JW99,Q10VW7,0.0,1420.7,Trichodesmium erythraeum (strain IMS101)
4117,Q2JW99,Q55709,0.0,1417.4,Synechocystis sp. (strain PCC 6803 / Kazusa)
4118,Q2JW99,B7K110,0.0,1396.9,Rippkaea orientalis (strain PCC 8801)
4119,Q2JW99,B0JLJ4,0.0,1388.4,Microcystis aeruginosa (strain NIES-843)
4120,Q2JW99,B7K818,0.0,1387.2,Gloeothece citriformis (strain PCC 7424)
4121,Q2JQT5,Q55085,0.0,1127.5,Synechococcus sp. PCC 7002
4122,Q6YXL7,P60152,1.5e-21,78.0,Psilotum nudum
4123,Q6YXL7,Q85A78,6.6e-21,76.1,Anthoceros angustus
4124,P51395,Q6B8K0,2.9e-11,45.3,Gracilaria tenuistipitata var. liui
4125,P51395,O78448,1e-06,32.1,Guillardia theta
4126,P51395,Q9MUS2,3.2e-05,27.8,Mesostigma viride
4127,Q3ZJ61,Q20F22,1.4e-13,53.2,Oltmannsiellopsis viridis
4128,Q3ZJ61,Q32RL7,5.1e-13,51.6,Zygnema circumcarinatum
4129,Q3ZJ61,Q9TL12,5.5e-13,51.4,Nephroselmis olivacea
4130,Q3ZJ61,Q1XDA0,6.9e-12,48.2,Pyropia yezoensis
4131,Q3ZJ61,P51387,2e-11,46.8,Porphyra purpurea
4132,P30157,P41352,8.6e-285,949.2,Tetrahymena thermophila
4133,P30157,P33188,1.7e-284,948.3,Paramecium tetraurelia
4134,P30157,P10876,4.2e-284,946.9,Tetrahymena pyriformis
4135,P30157,P20365,2.7e-281,937.7,Euplotes crassus
4136,P30157,Q9ZSW1,1.2e-280,935.6,Cyanophora paradoxa
4137,P30157,Q08115,1.6e-279,931.9,Euplotoides octocarinatus
4138,P30157,P11482,2.5e-279,931.2,Volvox carteri
4139,P30157,P04690,2.7e-279,931.1,Chlamydomonas reinhardtii
4140,P30157,O04386,3.7e-279,930.6,Chlamydomonas incerta
4141,P30157,P50262,5e-279,930.2,Oomycete-like sp. (strain MacKay2000)
4142,P30157,P10878,5.3e-279,930.1,Toxoplasma gondii
4143,P30157,O59837,1.2e-278,929.0,Phytophthora cinnamomi
4144,P30157,P11857,3.3e-278,927.5,Stylonychia lemnae
4145,P30157,Q9N2N6,4.1e-278,927.2,Euplotes focardii
4146,P30157,P34108,9.6e-278,926.0,Naegleria pringsheimi
4147,Q0P3L6,A6YGC7,2.3e-69,236.8,Pleurastrum terricola
4148,Q0P3L6,Q32RV3,6.999999999999996e-69,235.2,Staurastrum punctulatum
4149,Q0P3L6,Q6YXK9,2.4e-67,230.2,Physcomitrium patens
4150,Q0P3L6,Q1ACG0,1.6e-66,227.5,Chara vulgaris
4151,Q0P3L6,Q8M9V1,9.6e-66,225.0,Chaetosphaeridium globosum
4152,Q0P3L6,Q5SD18,2.1e-65,223.9,Huperzia lucidula
4153,Q0P3L6,B0C1E0,3e-65,223.4,Acaryochloris marina (strain MBIC 11017)
4154,Q0P3L6,Q32RN5,3e-65,223.4,Zygnema circumcarinatum
4155,Q0P3L6,Q9MUU3,1.2e-64,221.4,Mesostigma viride
4156,Q0P3L6,Q110B4,7.7e-64,218.8,Trichodesmium erythraeum (strain IMS101)
4157,Q0P3P7,Q3AW73,9.2e-19,69.1,Synechococcus sp. CC9902
4158,Q0P3P7,Q7U4I0,9.2e-19,69.1,Synechococcus sp. (strain WH8102)
4159,Q0P3P7,Q3AMQ0,1.2e-18,68.8,Synechococcus sp. CC9605
4160,Q0P3P7,B7KI08,6.7e-17,63.5,Gloeothece citriformis (strain PCC 7424)
4161,Q0P3P7,B8G1Z0,1.8e-16,62.2,Desulfitobacterium hafniense (strain DSM 10664 / DCB-2)
4162,Q0P3P7,Q250K8,1.8e-16,62.2,Desulfitobacterium hafniense (strain Y51)
4163,Q7UZV2,A2C4Z3,1.7999999999999998e-138,464.4,Prochlorococcus marinus (strain NATL1A)
4164,Q7UZV2,Q31L13,6e-109,367.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4165,B1WR94,Q3MA22,4e-57,196.0,Trichormus variabilis ATCC 29413
4166,Q91636,Q5R9Y9,6.7e-221,740.3,Pongo abelii
4167,Q91636,Q95LT1,9.7e-178,597.7,Macaca fascicularis
4168,D4A7E1,P18847,3e-12,51.6,Homo sapiens
4169,D4A7E1,Q2KII1,1.5e-11,49.4,Bos taurus
4170,P51381,Q1XDA6,0.0,1718.3,Pyropia yezoensis
4171,P51381,Q3MB92,0.0,1123.4,Trichormus variabilis ATCC 29413
4172,P51381,Q8YMS8,0.0,1118.5,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4173,P51381,B2IUA9,0.0,1114.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4174,P51381,Q10VW7,0.0,1108.3,Trichodesmium erythraeum (strain IMS101)
4175,P51381,Q8DHU4,0.0,1101.9,Thermosynechococcus elongatus (strain BP-1)
4176,P51381,B8HSJ5,0.0,1099.2,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
4177,P51381,B0C1V9,0.0,1099.1,Acaryochloris marina (strain MBIC 11017)
4178,P51381,B7K110,0.0,1079.8,Rippkaea orientalis (strain PCC 8801)
4179,P51381,B7K818,0.0,1079.2,Gloeothece citriformis (strain PCC 7424)
4180,P51381,Q2JW99,0.0,1078.7,Synechococcus sp. (strain JA-3-3Ab)
4181,P51381,Q55709,0.0,1078.6,Synechocystis sp. (strain PCC 6803 / Kazusa)
4182,P51381,Q2JJ09,0.0,1077.6,Synechococcus sp. (strain JA-2-3B'a(2-13))
4183,P51381,B0JLJ4,0.0,1065.5,Microcystis aeruginosa (strain NIES-843)
4184,P58575,Q9WWP1,1.6e-39,137.1,Nostoc sp. (strain PCC 8009)
4185,P58575,B2J5G1,2.1e-38,133.5,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4186,P58575,Q9ZFU3,2.3e-35,123.9,Mastigocladus laminosus
4187,P58575,P23077,3.7e-25,91.8,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4188,P58575,Q31NL7,3.7e-25,91.8,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4189,Q2JIL3,Q3MFA7,4.8e-76,259.8,Trichormus variabilis ATCC 29413
4190,Q3AVJ4,Q0IAH8,8.900000000000004e-44,150.8,Synechococcus sp. (strain CC9311)
4191,Q6B8Z7,O78418,2.1e-49,170.8,Guillardia theta
4192,Q6B8Z7,B2J5G7,2.4e-43,151.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4193,Q6B8Z7,Q8DLJ8,1.6e-40,142.3,Thermosynechococcus elongatus (strain BP-1)
4194,Q6B8Z7,Q85G21,2.4e-37,132.1,Cyanidioschyzon merolae (strain 10D)
4195,Q8DMM6,O24694,7.699999999999999e-56,192.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4196,Q8DMM6,P73315,1.3e-54,188.0,Synechocystis sp. (strain PCC 6803 / Kazusa)
4197,Q8DMM6,Q8YPI4,5.8e-52,179.5,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4198,Q8YYP5,B2J5G7,2.4e-62,212.5,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4199,Q8YYP5,O78418,3.2000000000000004e-44,154.3,Guillardia theta
4200,Q8YYP5,Q8DLJ8,2.6e-43,151.3,Thermosynechococcus elongatus (strain BP-1)
4201,Q8YYP5,Q6B8Z7,1.8e-40,142.2,Gracilaria tenuistipitata var. liui
4202,B9HSR7,C6SXE1,4.9000000000000015e-87,294.5,Glycine max
4203,B9HSR7,B7FKW7,4.9e-84,284.8,Medicago truncatula
4204,B9HSR7,A2Z8F9,4.7e-74,252.3,Oryza sativa subsp. indica
4205,B9HSR7,A6W1Q1,5.8999999999999995e-24,89.7,Marinomonas sp. MWYL1
4206,B9HSR7,Q885A6,7.700000000000001e-23,86.0,Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)
4207,B9HSR7,C5BUK2,2e-22,84.7,Teredinibacter turnerae (strain ATCC 39867 / T7901)
4208,B7K110,Q8YMS8,0.0,1565.0,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4209,B7K110,B2IUA9,0.0,1561.5,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4210,B0CAC9,Q31QK3,2.1e-70,239.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4211,B0CAC9,Q5N3N9,6.6e-70,238.3,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4212,B1XI65,P18661,7.800000000000001e-73,247.9,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4213,B1XI65,Q31PV3,7.800000000000001e-73,247.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4214,B1XI65,B2J5A9,1.3e-72,247.1,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4215,B1XI65,P51288,7.199999999999999e-70,238.2,Porphyra purpurea
4216,B2ITQ3,O24691,1.0000000000000001e-34,123.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4217,B2ITQ3,Q31L09,1.0000000000000001e-34,123.5,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4218,B2ITQ3,P73318,3.1e-31,112.4,Synechocystis sp. (strain PCC 6803 / Kazusa)
4219,B2ITQ3,Q9MUT8,7.2e-30,108.0,Mesostigma viride
4220,P49649,A0T0G5,0.0,1322.1,Phaeodactylum tricornutum (strain CCAP 1055/1)
4221,P49649,Q8DHU4,3.1e-272,910.8,Thermosynechococcus elongatus (strain BP-1)
4222,P49649,A6MVS6,6.7e-269,899.7,Rhodomonas salina
4223,P49649,B8HSJ5,7.5e-267,893.0,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
4224,P49649,B0C1V9,2.3e-265,888.0,Acaryochloris marina (strain MBIC 11017)
4225,P49649,Q3MB92,2.5e-265,887.9,Trichormus variabilis ATCC 29413
4226,P49649,Q8YMS8,1.2999999999999999e-264,885.5,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4227,P49649,O78441,7.499999999999997e-264,883.0,Guillardia theta
4228,P49649,B2IUA9,2.7e-263,881.2,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4229,P49649,Q2JW99,5.4e-262,876.9,Synechococcus sp. (strain JA-3-3Ab)
4230,P49649,Q2JJ09,8.000000000000001e-260,869.7,Synechococcus sp. (strain JA-2-3B'a(2-13))
4231,P49649,Q1XDA6,9.1e-258,862.9,Pyropia yezoensis
4232,P49649,Q10VW7,5.5e-257,860.3,Trichodesmium erythraeum (strain IMS101)
4233,P49649,P51381,1e-255,856.1,Porphyra purpurea
4234,P49649,B0JLJ4,4.2e-253,847.5,Microcystis aeruginosa (strain NIES-843)
4235,P49649,Q55709,6.400000000000001e-253,846.9,Synechocystis sp. (strain PCC 6803 / Kazusa)
4236,P49649,B7K818,1.4e-252,845.7,Gloeothece citriformis (strain PCC 7424)
4237,Q2UN81,A1D3V4,8.5e-210,701.9,Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)
4238,Q2UN81,A1CQZ0,1e-203,681.9,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)
4239,Q2UN81,Q1E0A3,1.8000000000000001e-186,625.1,Coccidioides immitis (strain RS)
4240,Q2UN81,Q2UCB7,8.5e-159,533.9,Aspergillus oryzae (strain ATCC 42149 / RIB 40)
4241,Q2UN81,B0Y081,7.6e-158,530.8,Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163)
4242,Q2UN81,A1CL82,2.2e-157,529.2,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)
4243,P49539,A0T0G8,7.6e-192,642.6,Phaeodactylum tricornutum (strain CCAP 1055/1)
4244,P49539,B0CDA5,4.1999999999999986e-127,429.4,Acaryochloris marina (strain MBIC 11017)
4245,P49539,P73912,3.7e-120,406.5,Synechocystis sp. (strain PCC 6803 / Kazusa)
4246,P49539,B0JHI7,8.1e-119,402.1,Microcystis aeruginosa (strain NIES-843)
4247,A2A974,Q91WL5,0.0,1153.9,Mus musculus
4248,A2A974,P14579,7.7e-273,910.4,Oryctolagus cuniculus
4249,A2A974,P20816,1.2e-257,860.3,Rattus norvegicus
4250,E3LAQ9,Q8IW45,1.4e-71,246.6,Homo sapiens
4251,E3LAQ9,E1BNQ4,5.5e-70,241.3,Bos taurus
4252,E3LAQ9,Q5R824,9.9e-70,240.5,Pongo abelii
4253,E3LAQ9,D4AAT7,2.9e-69,238.9,Rattus norvegicus
4254,E3LAQ9,F1Q575,2.3e-68,236.0,Danio rerio
4255,E3LAQ9,Q9CZ42,3.2e-68,235.5,Mus musculus
4256,E3LAQ9,E2QUI9,1.1e-67,233.8,Canis lupus familiaris
4257,E3LAQ9,F6RCC2,3.1e-67,232.2,Ciona intestinalis
4258,Q8YPK3,P73297,7.499999999999999e-148,496.5,Synechocystis sp. (strain PCC 6803 / Kazusa)
4259,Q8YPK3,Q7NFF5,2.3e-135,455.6,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
4260,Q8YPK3,O24710,1.4e-128,433.3,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4261,Q8YPK3,Q1XDJ5,3.5000000000000005e-125,422.1,Pyropia yezoensis
4262,Q110D1,Q8YPK3,5e-147,493.7,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4263,Q110D1,P73297,2.2e-140,471.9,Synechocystis sp. (strain PCC 6803 / Kazusa)
4264,Q110D1,O24710,8.700000000000001e-133,447.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4265,Q110D1,Q7NFF5,1.4e-128,433.2,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
4266,Q110D1,Q1XDJ5,1.2000000000000002e-124,420.3,Pyropia yezoensis
4267,Q32RQ4,Q8WHZ5,2.6e-24,86.9,Psilotum nudum
4268,O86448,B2J0Q6,4.2e-12,49.4,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4269,O86448,Q1XDU7,1.5e-11,47.8,Pyropia yezoensis
4270,O86448,A9BBI9,1.8e-11,47.5,Prochlorococcus marinus (strain MIT 9211)
4271,Q0P3J8,Q9MUS2,3.3e-08,36.6,Mesostigma viride
4272,Q0P3J8,P48185,1.4e-06,31.9,Cyanophora paradoxa
4273,Q0P3J8,Q6B8K0,4.7e-06,30.3,Gracilaria tenuistipitata var. liui
4274,Q0P3J8,O78448,1.3e-05,29.1,Guillardia theta
4275,Q0P3J8,P51395,6.2e-05,27.0,Porphyra purpurea
4276,Q0P3J8,Q1XD92,6.2e-05,27.0,Pyropia yezoensis
4277,Q0P3J8,Q9TLX5,0.0012,23.2,Cyanidium caldarium
4278,Q1XDN1,Q31P66,8.7e-29,103.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4279,Q1XDN1,Q5N503,8.7e-29,103.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4280,Q1XDN1,Q8DH98,1.1e-27,99.6,Thermosynechococcus elongatus (strain BP-1)
4281,Q1XDN1,B2J0D3,1.3e-27,99.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4282,Q1XDN1,Q7U6W1,1.9e-27,98.8,Synechococcus sp. (strain WH8102)
4283,Q1XDN1,Q0IAH8,1.9e-27,98.8,Synechococcus sp. (strain CC9311)
4284,Q1XDN1,A5GLA3,1.9e-27,98.8,Synechococcus sp. (strain WH7803)
4285,Q1XDN1,Q3AVJ4,1.9e-27,98.8,Synechococcus sp. CC9902
4286,Q1XDN1,B1X3I0,1.9e-27,98.8,Paulinella chromatophora
4287,P49543,Q4G385,3.7e-11,45.7,Emiliania huxleyi
4288,P49543,B7KIS7,6.9e-09,38.9,Gloeothece citriformis (strain PCC 7424)
4289,P49543,Q5N047,1.3e-08,38.1,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4290,P49543,Q10WA3,7.5e-08,35.8,Trichodesmium erythraeum (strain IMS101)
4291,P49543,B2J1B5,1e-07,35.4,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4292,B0JSW8,B1XMN4,3.700000000000001e-22,81.0,Synechococcus sp. PCC 7002
4293,B0JSW8,Q32RP3,3.1e-18,68.9,Zygnema circumcarinatum
4294,Q2JI37,P48185,0.00033,24.4,Cyanophora paradoxa
4295,Q2JI37,Q9TLX5,0.00034,24.3,Cyanidium caldarium
4296,Q2JI37,P0A403,0.0029,21.6,Thermosynechococcus elongatus (strain BP-1)
4297,Q2JI37,P0A404,0.0029,21.6,Synechococcus elongatus
4298,Q2JI37,Q0P3J8,0.0079,20.4,Ostreococcus tauri
4299,Q2JI37,Q6B8K0,0.013,19.8,Gracilaria tenuistipitata var. liui
4300,Q2JI37,P51395,0.02,19.3,Porphyra purpurea
4301,Q2JI37,Q1XD92,0.02,19.3,Pyropia yezoensis
4302,B0C385,Q3M5C8,0.0,1908.6,Trichormus variabilis ATCC 29413
4303,B0C385,B2J1A0,0.0,1888.2,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4304,B0C385,Q2JJ17,0.0,1855.8,Synechococcus sp. (strain JA-2-3B'a(2-13))
4305,B0C385,Q110H3,0.0,1828.2,Trichodesmium erythraeum (strain IMS101)
4306,B0C385,P73334,0.0,1768.8,Synechocystis sp. (strain PCC 6803 / Kazusa)
4307,B0JNP1,P20094,2.8e-31,113.4,Phormidium laminosum
4308,B0JNP1,P56152,2.8e-30,110.1,Thermosynechococcus vulcanus
4309,B1WXF7,P48957,2.7e-60,205.5,Synechocystis sp. (strain PCC 6803 / Kazusa)
4310,B1WXF7,B1XIQ9,2.1000000000000002e-58,199.4,Synechococcus sp. PCC 7002
4311,B1WXF7,Q3M7I1,2.6000000000000004e-57,195.9,Trichormus variabilis ATCC 29413
4312,B1WXF7,B0BZS8,1.8e-54,186.9,Acaryochloris marina (strain MBIC 11017)
4313,A6MVY4,O78495,3.2e-47,163.7,Guillardia theta
4314,A6MVY4,B1XIQ9,9.6e-47,162.2,Synechococcus sp. PCC 7002
4315,A6MVY4,B1WXF7,9.8e-45,155.8,Crocosphaera subtropica (strain ATCC 51142 / BH68)
4316,A6MVY4,B7K4V4,5.999999999999999e-44,153.3,Rippkaea orientalis (strain PCC 8801)
4317,A6MVY4,B7K6S6,1.6e-43,151.9,Gloeothece citriformis (strain PCC 7424)
4318,A6MVY4,Q3M7I1,3.3e-43,150.9,Trichormus variabilis ATCC 29413
4319,A6MVY4,Q8YRL8,8.7e-43,149.5,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4320,A6MVY4,B2J0D0,8.7e-43,149.5,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4321,A6MVY4,B0JSJ8,9.8e-43,149.4,Microcystis aeruginosa (strain NIES-843)
