Hit,Protein1,Protein2,E,Score,Organism,concat1,concat2
7286,P69194,A7M953,1.6e-43,150.6,Cuscuta reflexa,P69194A7M953,A7M953P69194
7287,P69194,Q49L11,1.6e-43,150.6,Eucalyptus globulus subsp. globulus,P69194Q49L11,Q49L11P69194
7288,P69194,A4QL93,1.6e-43,150.6,Lepidium virginicum,P69194A4QL93,A4QL93P69194
7289,P69194,Q56P08,1.6e-43,150.6,Lactuca sativa,P69194Q56P08,Q56P08P69194
7290,P69194,Q7HJJ2,1.6e-43,150.6,Psilotum nudum,P69194Q7HJJ2,Q7HJJ2P69194
7291,P69194,A4QLI1,1.6e-43,150.6,Lobularia maritima,P69194A4QLI1,A4QLI1P69194
7292,P69194,Q3C1H2,1.6e-43,150.6,Nicotiana sylvestris,P69194Q3C1H2,Q3C1H2P69194
7293,P69194,B2XWN6,1.6e-43,150.6,Fagopyrum esculentum subsp. ancestrale,P69194B2XWN6,B2XWN6P69194
7294,P69194,Q70Y12,1.6e-43,150.6,Amborella trichopoda,P69194Q70Y12,Q70Y12P69194
7295,Q9GL51,P63005,3.8e-287,956.2,Mus musculus,Q9GL51P63005,P63005Q9GL51
7296,Q9GL51,P43033,6.6e-286,952.1,Bos taurus,Q9GL51P43033,P43033Q9GL51
7297,Q9GL51,Q803D2,1.6e-272,908.0,Danio rerio,Q9GL51Q803D2,Q803D2Q9GL51
7298,Q9GL51,Q4RJN5,2.6e-269,897.5,Tetraodon nigroviridis,Q9GL51Q4RJN5,Q4RJN5Q9GL51
7299,Q9GL51,A7S338,9.3e-217,724.4,Nematostella vectensis,Q9GL51A7S338,A7S338Q9GL51
7300,Q9GL51,B7PS00,5.3e-216,721.9,Ixodes scapularis,Q9GL51B7PS00,B7PS00Q9GL51
7301,Q95KJ2,E3WPP8,1.3e-97,332.4,Anopheles darlingi,Q95KJ2E3WPP8,E3WPP8Q95KJ2
7302,Q95KJ2,Q7Q5Z3,8.1e-97,329.7,Anopheles gambiae,Q95KJ2Q7Q5Z3,Q7Q5Z3Q95KJ2
7303,Q95KJ2,Q16VC0,4e-96,327.4,Aedes aegypti,Q95KJ2Q16VC0,Q16VC0Q95KJ2
7304,Q95KJ2,E0VLV0,5.3e-87,297.3,Pediculus humanus subsp. corporis,Q95KJ2E0VLV0,E0VLV0Q95KJ2
7305,Q95KJ2,Q8TFG7,6.1e-84,287.2,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Q95KJ2Q8TFG7,Q8TFG7Q95KJ2
7306,Q95KJ2,Q59TN1,2.5000000000000004e-80,275.3,Candida albicans (strain SC5314 / ATCC MYA-2876),Q95KJ2Q59TN1,Q59TN1Q95KJ2
7307,Q95KJ2,C4YH95,6.2e-80,274.0,Candida albicans (strain WO-1),Q95KJ2C4YH95,C4YH95Q95KJ2
7308,O78432,P51205,1.4e-159,534.7,Porphyra purpurea,O78432P51205,P51205O78432
7309,O78432,P25544,1.7e-34,124.4,Allochromatium vinosum,O78432P25544,P25544O78432
7310,O78432,Q5N5I5,3.1e-32,116.9,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),O78432Q5N5I5,Q5N5I5O78432
7311,O78432,Q9F1R2,3.1e-32,116.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805),O78432Q9F1R2,Q9F1R2O78432
7312,Q55085,B7JWQ8,0.0,1239.6,Rippkaea orientalis (strain PCC 8801),Q55085B7JWQ8,B7JWQ8Q55085
7313,Q55085,B1WP07,0.0,1228.3,Crocosphaera subtropica (strain ATCC 51142 / BH68),Q55085B1WP07,B1WP07Q55085
7314,Q55085,B0JSN9,0.0,1217.3,Microcystis aeruginosa (strain NIES-843),Q55085B0JSN9,B0JSN9Q55085
7315,Q55085,Q2JJ18,0.0,1126.2,Synechococcus sp. (strain JA-2-3B'a(2-13)),Q55085Q2JJ18,Q2JJ18Q55085
7316,Q55085,Q110H2,0.0,1112.8,Trichodesmium erythraeum (strain IMS101),Q55085Q110H2,Q110H2Q55085
7317,Q55085,Q7U8K3,0.0,1095.5,Synechococcus sp. (strain WH8102),Q55085Q7U8K3,Q7U8K3Q55085
7318,Q55085,Q7NDF8,0.0,1093.4,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421),Q55085Q7NDF8,Q7NDF8Q55085
7319,Q55085,A5GVF1,0.0,1090.7,Synechococcus sp. (strain RCC307),Q55085A5GVF1,A5GVF1Q55085
7320,P49479,Q20EW6,0.0,1500.7,Oltmannsiellopsis viridis,P49479Q20EW6,Q20EW6P49479
7321,P49479,P56341,0.0,1498.3,Chlorella vulgaris,P49479P56341,P56341P49479
7322,P49479,P12154,0.0,1495.9,Chlamydomonas reinhardtii,P49479P12154,P12154P49479
7323,P49479,Q19V91,0.0,1493.4,Chlorokybus atmophyticus,P49479Q19V91,Q19V91P49479
7324,P49479,Q1KVY3,0.0,1492.0,Tetradesmus obliquus,P49479Q1KVY3,Q1KVY3P49479
7325,P49479,P48112,0.0,1491.5,Cyanophora paradoxa,P49479P48112,P48112P49479
7326,P49479,Q3ZJ07,0.0,1490.0,Tupiella akineta,P49479Q3ZJ07,Q3ZJ07P49479
7327,P49479,Q9MUR8,0.0,1488.6,Mesostigma viride,P49479Q9MUR8,Q9MUR8P49479
7328,P49479,Q9TKW2,0.0,1487.8,Nephroselmis olivacea,P49479Q9TKW2,Q9TKW2P49479
7329,P49479,Q8MFA3,0.0,1484.7,Physcomitrium patens,P49479Q8MFA3,Q8MFA3P49479
7330,P49479,P06406,0.0,1481.5,Marchantia polymorpha,P49479P06406,P06406P49479
7331,P49479,Q85FY7,0.0,1476.7,Cyanidioschyzon merolae (strain 10D),P49479Q85FY7,Q85FY7P49479
7332,Q7KUT2,Q5AZT7,1.3999999999999998e-264,885.4,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),Q7KUT2Q5AZT7,Q5AZT7Q7KUT2
7333,Q7KUT2,Q09769,3.6e-253,847.6,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Q7KUT2Q09769,Q09769Q7KUT2
7334,Q7KUT2,Q6FPE6,5.6999999999999994e-244,817.1,Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65),Q7KUT2Q6FPE6,Q6FPE6Q7KUT2
7335,A5GMR2,Q3AWX3,0.0,1284.4,Synechococcus sp. CC9902,A5GMR2Q3AWX3,Q3AWX3A5GMR2
7336,A5GMR2,A2C0M8,0.0,1199.1,Prochlorococcus marinus (strain NATL1A),A5GMR2A2C0M8,A2C0M8A5GMR2
7337,A5GMR2,A9BE39,0.0,1197.7,Prochlorococcus marinus (strain MIT 9211),A5GMR2A9BE39,A9BE39A5GMR2
7338,A5GMR2,Q46GZ6,0.0,1196.9,Prochlorococcus marinus (strain NATL2A),A5GMR2Q46GZ6,Q46GZ6A5GMR2
7339,A5GMR2,B1X3K4,0.0,1170.1,Paulinella chromatophora,A5GMR2B1X3K4,B1X3K4A5GMR2
7340,A5GMR2,Q31CB8,0.0,1156.9,Prochlorococcus marinus (strain MIT 9312),A5GMR2Q31CB8,Q31CB8A5GMR2
7341,A5GMR2,A8G3D2,0.0,1156.9,Prochlorococcus marinus (strain MIT 9215),A5GMR2A8G3D2,A8G3D2A5GMR2
7342,A5GMR2,Q7V2Q1,0.0,1155.9,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4),A5GMR2Q7V2Q1,Q7V2Q1A5GMR2
7343,A5GMR2,A2BPP8,0.0,1155.6,Prochlorococcus marinus (strain AS9601),A5GMR2A2BPP8,A2BPP8A5GMR2
7344,A5GMR2,A2BV79,0.0,1155.4,Prochlorococcus marinus str. MIT 9515,A5GMR2A2BV79,A2BV79A5GMR2
7345,A5GMR2,A3PBD8,0.0,1154.1,Prochlorococcus marinus (strain MIT 9301),A5GMR2A3PBD8,A3PBD8A5GMR2
7346,A5GMR2,Q31R08,0.0,1077.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805),A5GMR2Q31R08,Q31R08A5GMR2
7347,Q3AH25,Q3B038,1.4e-241,805.9,Synechococcus sp. CC9902,Q3AH25Q3B038,Q3B038Q3AH25
7348,Q3AH25,Q0I6Z7,8.1e-240,800.1,Synechococcus sp. (strain CC9311),Q3AH25Q0I6Z7,Q0I6Z7Q3AH25
7349,Q3AH25,B1X3H4,7.9e-238,793.5,Paulinella chromatophora,Q3AH25B1X3H4,B1X3H4Q3AH25
7350,Q3AH25,A5GQK3,1.4e-234,782.8,Synechococcus sp. (strain RCC307),Q3AH25A5GQK3,A5GQK3Q3AH25
7351,Q3AH25,Q0QZ08,2.2e-229,765.8,Synechococcus phage syn9,Q3AH25Q0QZ08,Q0QZ08Q3AH25
7352,Q3AH25,Q7Y4H2,4.6e-228,761.4,Synechococcus phage S-PM2,Q3AH25Q7Y4H2,Q7Y4H2Q3AH25
7353,Q3AH25,Q6H956,2.3e-227,759.1,Synechococcus phage S-RSM2,Q3AH25Q6H956,Q6H956Q3AH25
7354,Q3AH25,Q7V6I0,1.6e-226,756.3,Prochlorococcus marinus (strain MIT 9313),Q3AH25Q7V6I0,Q7V6I0Q3AH25
7355,Q3AH25,Q6H952,3.7e-226,755.1,Synechococcus phage S-WHM1,Q3AH25Q6H952,Q6H952Q3AH25
7356,Q3AH25,Q5N3Q7,1.2e-225,753.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),Q3AH25Q5N3Q7,Q5N3Q7Q3AH25
7357,Q3AH25,P11005,1.2e-225,753.4,Synechococcus elongatus (strain PCC 7942 / FACHB-805),Q3AH25P11005,P11005Q3AH25
7358,Q3AH25,Q5MZ82,2.6e-225,752.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),Q3AH25Q5MZ82,Q5MZ82Q3AH25
7359,Q3AH25,Q8CM25,1.1e-223,747.0,Thermosynechococcus elongatus (strain BP-1),Q3AH25Q8CM25,Q8CM25Q3AH25
7360,Q3AH25,B2IVV1,2.5e-223,745.8,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),Q3AH25B2IVV1,B2IVV1Q3AH25
7361,Q3AH25,Q8XFA5,3.3e-223,745.4,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),Q3AH25Q8XFA5,Q8XFA5Q3AH25
7362,Q8DMM0,B8HMR6,2.7e-98,331.6,Cyanothece sp. (strain PCC 7425 / ATCC 29141),Q8DMM0B8HMR6,B8HMR6Q8DMM0
7363,Q8DMM0,Q110B9,1.9e-96,325.6,Trichodesmium erythraeum (strain IMS101),Q8DMM0Q110B9,Q110B9Q8DMM0
7364,Q8DMM0,Q8YPJ1,1.4e-95,322.8,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),Q8DMM0Q8YPJ1,Q8YPJ1Q8DMM0
7365,Q8DMM0,B0C1E5,2.4e-95,322.0,Acaryochloris marina (strain MBIC 11017),Q8DMM0B0C1E5,B0C1E5Q8DMM0
7366,Q8DMM0,B7KHZ9,8e-95,320.3,Gloeothece citriformis (strain PCC 7424),Q8DMM0B7KHZ9,B7KHZ9Q8DMM0
7367,Q8DMM0,B0JHZ1,6.3e-93,314.2,Microcystis aeruginosa (strain NIES-843),Q8DMM0B0JHZ1,B0JHZ1Q8DMM0
7368,Q8DMM0,Q2JIL5,1.5999999999999996e-90,306.4,Synechococcus sp. (strain JA-2-3B'a(2-13)),Q8DMM0Q2JIL5,Q2JIL5Q8DMM0
7369,Q8DMM0,Q2JQN2,2.9e-90,305.5,Synechococcus sp. (strain JA-3-3Ab),Q8DMM0Q2JQN2,Q2JQN2Q8DMM0
7370,Q8DMM0,Q31L19,4.6e-90,304.8,Synechococcus elongatus (strain PCC 7942 / FACHB-805),Q8DMM0Q31L19,Q31L19Q8DMM0
7371,Q8DMM0,A5GVX2,6.1e-89,301.2,Synechococcus sp. (strain RCC307),Q8DMM0A5GVX2,A5GVX2Q8DMM0
7372,Q8DMM0,A5GIT3,1.5e-88,299.9,Synechococcus sp. (strain WH7803),Q8DMM0A5GIT3,A5GIT3Q8DMM0
7373,Q8DMM0,A2CC40,2.7e-88,299.1,Prochlorococcus marinus str. MIT 9303,Q8DMM0A2CC40,A2CC40Q8DMM0
7374,B2ITQ5,O24689,2.8e-93,316.1,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),B2ITQ5O24689,O24689B2ITQ5
7375,B2ITQ5,Q31L07,2.8e-93,316.1,Synechococcus elongatus (strain PCC 7942 / FACHB-805),B2ITQ5Q31L07,Q31L07B2ITQ5
7376,B2ITQ5,Q7NPH0,1.7e-89,303.8,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421),B2ITQ5Q7NPH0,Q7NPH0B2ITQ5
7377,B2ITQ5,Q2JV81,7.9e-88,298.3,Synechococcus sp. (strain JA-3-3Ab),B2ITQ5Q2JV81,Q2JV81B2ITQ5
7378,B2ITQ5,A2C4Z9,1.1e-87,297.9,Prochlorococcus marinus (strain NATL1A),B2ITQ5A2C4Z9,A2C4Z9B2ITQ5
7379,B2ITQ5,Q46IQ9,1.4e-87,297.5,Prochlorococcus marinus (strain NATL2A),B2ITQ5Q46IQ9,Q46IQ9B2ITQ5
7380,B2ITQ5,Q1XDH4,1.1e-86,294.5,Pyropia yezoensis,B2ITQ5Q1XDH4,Q1XDH4B2ITQ5
7381,B2ITQ5,A5GIU5,1.2e-86,294.4,Synechococcus sp. (strain WH7803),B2ITQ5A5GIU5,A5GIU5B2ITQ5
7382,B1XI63,Q1XDK1,5.8e-233,777.7,Pyropia yezoensis,B1XI63Q1XDK1,Q1XDK1B1XI63
7383,B1XI63,P50064,3.2e-231,771.9,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421),B1XI63P50064,P50064B1XI63
7384,B1XI63,B2J5B1,7.9e-227,757.5,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),B1XI63B2J5B1,B2J5B1B1XI63
7385,B0CDA5,Q2JNP5,2.7e-159,535.5,Synechococcus sp. (strain JA-2-3B'a(2-13)),B0CDA5Q2JNP5,Q2JNP5B0CDA5
7386,B0CDA5,Q7NJ11,2.9e-131,443.1,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421),B0CDA5Q7NJ11,Q7NJ11B0CDA5
7387,B0CDA5,A6MVS2,4.2e-117,396.4,Rhodomonas salina,B0CDA5A6MVS2,A6MVS2B0CDA5
7388,A2C5C6,A8G7G6,5.8e-34,119.5,Prochlorococcus marinus (strain MIT 9215),A2C5C6A8G7G6,A8G7G6A2C5C6
7389,A2C5C6,A2BTP2,5.8e-34,119.5,Prochlorococcus marinus (strain AS9601),A2C5C6A2BTP2,A2BTP2A2C5C6
7390,A2C5C6,A2BZ47,5.8e-34,119.5,Prochlorococcus marinus str. MIT 9515,A2C5C6A2BZ47,A2BZ47A2C5C6
7391,A2C5C6,A3PFE9,1.7e-33,118.0,Prochlorococcus marinus (strain MIT 9301),A2C5C6A3PFE9,A3PFE9A2C5C6
7392,A2C5C6,Q7UZK2,3.7e-33,117.0,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4),A2C5C6Q7UZK2,Q7UZK2A2C5C6
7393,A2C5C6,Q317Y1,4.6000000000000004e-33,116.7,Prochlorococcus marinus (strain MIT 9312),A2C5C6Q317Y1,Q317Y1A2C5C6
7394,A2C5C6,A5GHS0,1.4e-31,112.0,Synechococcus sp. (strain WH7803),A2C5C6A5GHS0,A5GHS0A2C5C6
7395,A2C5C6,A5GQ04,2.6e-29,105.0,Synechococcus sp. (strain RCC307),A2C5C6A5GQ04,A5GQ04A2C5C6
7396,Q9TKY1,P56309,5.6e-46,158.8,Chlorella vulgaris,Q9TKY1P56309,P56309Q9TKY1
7397,Q9TKY1,Q20EW2,1.3000000000000002e-44,154.5,Oltmannsiellopsis viridis,Q9TKY1Q20EW2,Q20EW2Q9TKY1
7398,Q9TKY1,Q3ZJ22,4.5e-44,152.8,Tupiella akineta,Q9TKY1Q3ZJ22,Q3ZJ22Q9TKY1
7399,Q9TKY1,Q1ACI7,5.400000000000001e-44,152.5,Chara vulgaris,Q9TKY1Q1ACI7,Q1ACI7Q9TKY1
7400,Q9TKY1,Q32RJ5,5.6e-44,152.4,Zygnema circumcarinatum,Q9TKY1Q32RJ5,Q32RJ5Q9TKY1
7401,Q9TKY1,P06851,6.9e-44,152.2,Marchantia polymorpha,Q9TKY1P06851,P06851Q9TKY1
7402,Q9TKY1,Q5SD43,8.000000000000002e-44,152.0,Huperzia lucidula,Q9TKY1Q5SD43,Q5SD43Q9TKY1
7403,Q9TKY1,Q85C42,8.5e-44,151.9,Anthoceros angustus,Q9TKY1Q85C42,Q85C42Q9TKY1
7404,Q9TKY1,Q6YXL9,8.7e-44,151.8,Physcomitrium patens,Q9TKY1Q6YXL9,Q6YXL9Q9TKY1
7405,Q9TKY1,Q32RX7,1.1e-43,151.5,Staurastrum punctulatum,Q9TKY1Q32RX7,Q32RX7Q9TKY1
7406,Q9TKY1,Q8WI04,1.2e-43,151.4,Psilotum nudum,Q9TKY1Q8WI04,Q8WI04Q9TKY1
7407,Q9TKY1,Q85FK5,7.499999999999999e-43,148.9,Adiantum capillus-veneris,Q9TKY1Q85FK5,Q85FK5Q9TKY1
7408,P48081,Q19V65,2.5e-267,891.9,Chlorokybus atmophyticus,P48081Q19V65,Q19V65P48081
7409,P48081,Q9MUT5,9.3e-264,880.2,Mesostigma viride,P48081Q9MUT5,Q9MUT5P48081
7410,P48081,Q31KS4,1.2e-262,876.6,Synechococcus elongatus (strain PCC 7942 / FACHB-805),P48081Q31KS4,Q31KS4P48081
7411,P48081,P07890,1.2e-262,876.6,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),P48081P07890,P07890P48081
7412,P48081,Q32RI0,2.7e-262,875.4,Zygnema circumcarinatum,P48081Q32RI0,Q32RI0P48081
7413,P48081,B8HP55,1.3e-261,873.1,Cyanothece sp. (strain PCC 7425 / ATCC 29141),P48081B8HP55,B8HP55P48081
7414,P48081,Q1ACK1,3e-261,871.9,Chara vulgaris,P48081Q1ACK1,Q1ACK1P48081
7415,P48081,Q8SLY2,3.1e-261,871.8,Chaetosphaeridium globosum,P48081Q8SLY2,Q8SLY2P48081
7416,P48081,O03062,1.6000000000000002e-260,869.5,Adiantum capillus-veneris,P48081O03062,O03062P48081
7417,P48081,Q32RY8,4.9999999999999996e-260,867.9,Staurastrum punctulatum,P48081Q32RY8,Q32RY8P48081
7418,P48081,P32978,1.4999999999999998e-259,866.3,Chlorella vulgaris,P48081P32978,P32978P48081
7419,P48081,Q31794,1.6999999999999998e-259,866.1,Anthoceros angustus,P48081Q31794,Q31794P48081
7420,P48081,P80658,1.9e-259,866.0,Physcomitrium patens,P48081P80658,P80658P48081
7421,P48081,O03081,2e-259,865.9,Psilotum nudum,P48081O03081,O03081P48081
7422,P48081,Q10Z38,6.799999999999999e-259,864.1,Trichodesmium erythraeum (strain IMS101),P48081Q10Z38,Q10Z38P48081
7423,Q3MHN8,Q95KJ2,1.6e-280,935.4,Macaca fascicularis,Q3MHN8Q95KJ2,Q95KJ2Q3MHN8
7424,Q3MHN8,E3WPP8,1.6e-101,345.2,Anopheles darlingi,Q3MHN8E3WPP8,E3WPP8Q3MHN8
7425,Q3MHN8,Q7Q5Z3,1.3e-97,332.3,Anopheles gambiae,Q3MHN8Q7Q5Z3,Q7Q5Z3Q3MHN8
7426,Q3MHN8,Q16VC0,1.6999999999999998e-96,328.6,Aedes aegypti,Q3MHN8Q16VC0,Q16VC0Q3MHN8
7427,Q3MHN8,E0VLV0,4.2e-87,297.7,Pediculus humanus subsp. corporis,Q3MHN8E0VLV0,E0VLV0Q3MHN8
7428,Q1KXS9,Q2VEF0,4.4e-143,479.2,Solanum tuberosum,Q1KXS9Q2VEF0,Q2VEF0Q1KXS9
7429,Q1KXS9,Q2MIF8,4.4e-143,479.2,Solanum bulbocastanum,Q1KXS9Q2MIF8,Q2MIF8Q1KXS9
7430,Q1KXS9,Q2MI71,4.4e-143,479.2,Solanum lycopersicum,Q1KXS9Q2MI71,Q2MI71Q1KXS9
7431,Q1KXS9,Q8S8W0,4.4e-143,479.2,Atropa belladonna,Q1KXS9Q8S8W0,Q8S8W0Q1KXS9
7432,Q1KXS9,Q33C02,6.2e-143,478.7,Nicotiana tomentosiformis,Q1KXS9Q33C02,Q33C02Q1KXS9
7433,Q1KXS9,Q3C1M5,6.2e-143,478.7,Nicotiana sylvestris,Q1KXS9Q3C1M5,Q3C1M5Q1KXS9
7434,Q1KXS9,A1EA38,1.1e-142,477.9,Agrostis stolonifera,Q1KXS9A1EA38,A1EA38Q1KXS9
7435,Q1KXS9,Q6L372,4.4e-142,475.9,Saccharum hybrid,Q1KXS9Q6L372,Q6L372Q1KXS9
7436,Q1KXS9,A1E9V4,4.4e-142,475.9,Sorghum bicolor,Q1KXS9A1E9V4,A1E9V4Q1KXS9
7437,Q1KXS9,Q6ENT4,4.4e-142,475.9,Saccharum officinarum,Q1KXS9Q6ENT4,Q6ENT4Q1KXS9
7438,Q1KXS9,Q3BAK7,5.9e-142,475.5,Phalaenopsis aphrodite subsp. formosana,Q1KXS9Q3BAK7,Q3BAK7Q1KXS9
7439,Q1KXS9,Q7YJU8,6.5e-142,475.4,Calycanthus floridus var. glaucus,Q1KXS9Q7YJU8,Q7YJU8Q1KXS9
7440,Q1KXS9,Q68RX7,2e-141,473.8,Panax ginseng,Q1KXS9Q68RX7,Q68RX7Q1KXS9
7441,Q1KXS9,Q0G9T2,2e-141,473.8,Daucus carota,Q1KXS9Q0G9T2,Q0G9T2Q1KXS9
7442,Q1KXS9,Q14FC7,2.6e-141,473.4,Populus alba,Q1KXS9Q14FC7,Q14FC7Q1KXS9
7443,Q1KXS9,P0C316,3.3e-141,473.1,Oryza sativa subsp. indica,Q1KXS9P0C316,P0C316Q1KXS9
7444,Q1KXS9,Q6ENE4,3.3e-141,473.1,Oryza nivara,Q1KXS9Q6ENE4,Q6ENE4Q1KXS9
7445,Q0JG75,Q1XDE0,4.7999999999999997e-39,138.9,Pyropia yezoensis,Q0JG75Q1XDE0,Q1XDE0Q0JG75
7446,Q0JG75,P51347,4.7999999999999997e-39,138.9,Porphyra purpurea,Q0JG75P51347,P51347Q0JG75
7447,Q0JG75,Q5MZB9,5.1e-39,138.8,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),Q0JG75Q5MZB9,Q5MZB9Q0JG75
7448,Q0JG75,Q31ML0,5.1e-39,138.8,Synechococcus elongatus (strain PCC 7942 / FACHB-805),Q0JG75Q31ML0,Q31ML0Q0JG75
7449,Q0JG75,O78418,1.5000000000000002e-38,137.3,Guillardia theta,Q0JG75O78418,O78418Q0JG75
7450,Q0JG75,P48264,1.9e-37,133.7,Cyanophora paradoxa,Q0JG75P48264,P48264Q0JG75
7451,Q0JG75,Q8DLJ8,2e-36,130.4,Thermosynechococcus elongatus (strain BP-1),Q0JG75Q8DLJ8,Q8DLJ8Q0JG75
7452,Q0JG75,Q6B8Z7,2.2e-36,130.3,Gracilaria tenuistipitata var. liui,Q0JG75Q6B8Z7,Q6B8Z7Q0JG75
7453,Q0JG75,Q85G21,1.9e-35,127.2,Cyanidioschyzon merolae (strain 10D),Q0JG75Q85G21,Q85G21Q0JG75
7454,Q0JG75,B0CE32,2.6e-35,126.8,Acaryochloris marina (strain MBIC 11017),Q0JG75B0CE32,B0CE32Q0JG75
7455,Q0JG75,B1XL01,1.2e-33,121.3,Synechococcus sp. PCC 7002,Q0JG75B1XL01,B1XL01Q0JG75
7456,Q0JG75,B7K2E0,1.3000000000000001e-33,121.3,Rippkaea orientalis (strain PCC 8801),Q0JG75B7K2E0,B7K2E0Q0JG75
7457,Q0JG75,A9B9Y9,1.4000000000000001e-33,121.2,Prochlorococcus marinus (strain MIT 9211),Q0JG75A9B9Y9,A9B9Y9Q0JG75
7458,Q0JG75,Q9TLZ2,4.8e-33,119.4,Cyanidium caldarium,Q0JG75Q9TLZ2,Q9TLZ2Q0JG75
7459,A0T0J3,P49548,1.1e-77,264.6,Trieres chinensis,A0T0J3P49548,P49548A0T0J3
7460,A0T0J3,B7KI01,4.9e-53,184.4,Gloeothece citriformis (strain PCC 7424),A0T0J3B7KI01,B7KI01A0T0J3
7461,A0T0J3,A5GAV7,3.9e-51,178.2,Geobacter uraniireducens (strain Rf4),A0T0J3A5GAV7,A5GAV7A0T0J3
7462,A0T0J3,Q2JIL3,8e-51,177.2,Synechococcus sp. (strain JA-2-3B'a(2-13)),A0T0J3Q2JIL3,Q2JIL3A0T0J3
7463,A0T0J3,B5YDV8,8.6e-51,177.1,Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12),A0T0J3B5YDV8,B5YDV8A0T0J3
7464,A0T0J3,Q8ETW8,8.8e-51,177.1,Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831),A0T0J3Q8ETW8,Q8ETW8A0T0J3
7465,A0T0J3,B8E1E8,2.5e-50,175.6,Dictyoglomus turgidum (strain DSM 6724 / Z-1310),A0T0J3B8E1E8,B8E1E8A0T0J3
7466,A0T0J3,Q2JQN4,3.1e-50,175.3,Synechococcus sp. (strain JA-3-3Ab),A0T0J3Q2JQN4,Q2JQN4A0T0J3
7467,A0T0J3,B5EFR5,3.5e-50,175.2,Geobacter bemidjiensis (strain Bem / ATCC BAA-1014 / DSM 16622),A0T0J3B5EFR5,B5EFR5A0T0J3
7468,A0T0J3,B9M6G3,4.5e-50,174.8,Geobacter daltonii (strain DSM 22248 / JCM 15807 / FRC-32),A0T0J3B9M6G3,B9M6G3A0T0J3
7469,A0T0J3,P73306,1.1e-49,173.6,Synechocystis sp. (strain PCC 6803 / Kazusa),A0T0J3P73306,P73306A0T0J3
7470,A0T0J3,A0L5Y8,3.8e-49,171.8,Magnetococcus marinus (strain ATCC BAA-1437 / JCM 17883 / MC-1),A0T0J3A0L5Y8,A0L5Y8A0T0J3
7471,A0T0J3,B2A4F4,3.8999999999999986e-49,171.7,Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF),A0T0J3B2A4F4,B2A4F4A0T0J3
7472,A0T0J3,Q65P92,4.2e-49,171.7,Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46),A0T0J3Q65P92,Q65P92A0T0J3
7473,A0T0J3,A0LIK5,5.000000000000001e-49,171.4,Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB),A0T0J3A0LIK5,A0LIK5A0T0J3
7474,A0T0J3,Q3MFA7,7e-49,170.9,Trichormus variabilis ATCC 29413,A0T0J3Q3MFA7,Q3MFA7A0T0J3
7475,A0T0J3,O23049,1.2e-48,170.2,Arabidopsis thaliana,A0T0J3O23049,O23049A0T0J3
7476,A0T0J3,B3E845,1.2e-48,170.2,Geobacter lovleyi (strain ATCC BAA-1151 / DSM 17278 / SZ),A0T0J3B3E845,B3E845A0T0J3
7477,Q4G385,P80470,1.6e-08,37.7,Spinacia oleracea,Q4G385P80470,P80470Q4G385
7478,Q4G385,Q31LS7,5.2e-08,36.2,Synechococcus elongatus (strain PCC 7942 / FACHB-805),Q4G385Q31LS7,Q31LS7Q4G385
7479,Q4G385,Q5N047,5.2e-08,36.2,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),Q4G385Q5N047,Q5N047Q4G385
7480,Q4G385,P48272,1.5e-07,34.8,Cyanophora paradoxa,Q4G385P48272,P48272Q4G385
